Date,Open,High,Low,Close
2019-06-24,12308.110352,12341.559570,12250.709961,12274.570313
2019-06-25,12226.879883,12284.570313,12213.410156,12228.440430
2019-06-26,12210.519531,12315.839844,12189.490234,12245.320313
2019-06-27,12308.259766,12334.570313,12209.339844,12271.030273
2019-06-28,12302.769531,12408.219727,12297.629883,12398.799805
2019-07-01,12616.339844,12619.679688,12519.299805,12521.379883
2019-07-02,12546.929688,12548.219727,12484.259766,12526.719727
2019-07-03,12548.299805,12631.809570,12545.790039,12616.240234
2019-07-04,12644.349609,12656.049805,12616.290039,12629.900391
2019-07-05,12632.120117,12632.120117,12522.110352,12568.530273
2019-07-08,12541.179688,12587.440430,12507.719727,12543.509766
2019-07-09,12436.969727,12477.580078,12364.160156,12436.549805
2019-07-10,12412.990234,12448.809570,12356.799805,12373.410156
2019-07-11,12401.019531,12417.929688,12307.339844,12332.120117
2019-07-12,12318.500000,12354.870117,12304.980469,12323.320313
2019-07-15,12346.589844,12434.139648,12301.080078,12387.339844
2019-07-16,12392.190430,12465.190430,12366.969727,12430.969727
2019-07-17,12429.870117,12453.330078,12324.330078,12341.030273
2019-07-18,12194.330078,12296.299805,12172.589844,12227.849609
2019-07-19,12302.639648,12340.110352,12211.669922,12260.070313
2019-07-22,12243.580078,12346.019531,12236.700195,12289.400391
2019-07-23,12384.660156,12531.160156,12369.190430,12490.740234
2019-07-24,12510.519531,12550.339844,12476.549805,12522.889648
2019-07-25,12576.019531,12599.929688,12299.099609,12362.099609
2019-07-26,12363.860352,12428.049805,12356.150391,12419.900391
2019-07-29,12398.290039,12473.969727,12387.580078,12417.469727
2019-07-30,12398.240234,12404.509766,12115.280273,12147.240234
2019-07-31,12149.089844,12226.490234,12139.030273,12189.040039
2019-08-01,12134.709961,12254.030273,12129.330078,12253.150391
2019-08-02,12033.679688,12034.910156,11836.750000,11872.440430
2019-08-05,11758.440430,11797.519531,11628.570313,11658.509766
2019-08-06,11690.269531,11748.830078,11567.959961,11567.959961
2019-08-07,11636.339844,11747.740234,11559.759766,11650.150391
2019-08-08,11752.959961,11845.410156,11683.990234,11845.410156
2019-08-09,11806.820313,11865.629883,11674.110352,11693.799805
2019-08-12,11801.059570,11836.969727,11647.009766,11679.679688
2019-08-13,11632.849609,11835.879883,11539.629883,11750.129883
2019-08-14,11758.750000,11759.570313,11459.370117,11492.660156
2019-08-15,11522.459961,11530.009766,11266.480469,11412.669922
2019-08-16,11460.650391,11578.839844,11447.339844,11562.740234
2019-08-19,11679.719727,11759.000000,11625.669922,11715.370117
2019-08-20,11711.780273,11764.929688,11618.929688,11651.179688
2019-08-21,11673.660156,11824.660156,11673.370117,11802.849609
2019-08-22,11756.209961,11853.139648,11715.259766,11747.040039
2019-08-23,11805.480469,11823.120117,11611.509766,11611.509766
2019-08-26,11619.660156,11696.780273,11551.990234,11658.040039
2019-08-27,11638.509766,11778.620117,11616.089844,11730.019531
2019-08-28,11704.669922,11717.790039,11573.639648,11701.019531
2019-08-29,11686.839844,11853.910156,11661.730469,11838.879883
2019-08-30,11850.299805,11989.440430,11845.160156,11939.280273
2019-09-02,11939.990234,11994.110352,11929.910156,11953.780273
2019-09-03,11921.940430,11956.690430,11869.280273,11910.860352
2019-09-04,12043.959961,12078.400391,11999.830078,12025.040039
2019-09-05,12117.900391,12151.309570,12084.169922,12126.780273
2019-09-06,12146.000000,12205.099609,12131.290039,12191.730469
2019-09-09,12210.870117,12245.110352,12189.599609,12226.099609
2019-09-10,12210.879883,12292.139648,12179.879883,12268.709961
2019-09-11,12341.839844,12394.280273,12317.610352,12359.070313
2019-09-12,12399.400391,12471.830078,12311.809570,12410.250000
2019-09-13,12412.719727,12494.250000,12408.929688,12468.530273
2019-09-16,12387.679688,12421.250000,12362.980469,12380.309570
2019-09-17,12370.959961,12392.969727,12303.509766,12372.610352
2019-09-18,12361.230469,12416.049805,12354.490234,12389.620117
2019-09-19,12355.919922,12466.780273,12354.830078,12457.700195
2019-09-20,12462.570313,12490.839844,12418.500000,12468.009766
2019-09-23,12432.299805,12441.019531,12264.139648,12342.330078
2019-09-24,12368.959961,12375.309570,12307.150391,12307.150391
2019-09-25,12250.080078,12261.059570,12141.820313,12234.179688
2019-09-26,12227.769531,12313.150391,12223.290039,12288.540039
